Titik	Latitude	Longitude	Keterangan	Waktu1	Waktu2	Waktu3	F1	F2	F3
A.27	9225320	672794	Dekat Pagar	2022-04-21 23:47:15	2022-04-21 23:47:25	2022-04-21 23:47:35	44551.44		44550.82
A.29	9225310	672809	-	2022-04-21 23:55:48	2022-04-21 23:55:58	2022-04-21 23:56:08	45099.83	45098.85	44099.84
A.01	9225500	672611	-	2022-04-22 00:45:25	2022-04-22 00:45:37	2022-04-22 00:45:47		44732.95	44732.95
A.02	9225500	672618	-	2022-04-22 00:43:37	2022-04-22 00:43:47	2022-04-22 00:43:57		44695.52	44695.81
A.06	9225470	672646	-	2022-04-22 00:36:32	2022-04-22 00:36:42	2022-04-22 00:36:52	44729.19	44730.92	44729.33
A.07	9225460	672653	-	2022-04-22 00:34:50	2022-04-22 00:35:00	2022-04-22 00:35:10		44716.12	44717.03
A.08	9225450	672660	-	2022-04-22 00:33:15	2022-04-22 00:33:27	2022-04-22 00:33:37		44753.24	44751.89
A.10	9225440	672674	-	2022-04-22 00:30:06	2022-04-22 00:30:16	2022-04-22 00:30:26	44850.4	44853.19	
A.11	9225430	672682	-	2022-04-22 00:28:20	2022-04-22 00:28:31	2022-04-22 00:28:41	44827.62		44828.64
A.17	9225390	672724	-	2022-04-22 00:18:18	2022-04-22 00:18:28	2022-04-22 00:18:38	44953.31		44955.97
A.19	9225380	672738	-	2022-04-22 00:15:13	2022-04-22 00:15:23	2022-04-22 00:15:33	44960.63	44962.09	
A.20	9225370	672745	-	2022-04-22 00:13:25	2022-04-22 00:13:35	2022-04-22 00:13:45	44950.29	44950.88	
A.21	9225360	672752	-	2022-04-22 00:11:35	2022-04-22 00:11:47	2022-04-22 00:11:57	44890.49	44890.24	
A.22	9225350	672759	-	2022-04-22 00:09:44	2022-04-22 00:09:54	2022-04-22 00:10:06	44894.24	44893.59	44893.98
A.23	9225350	672766	-	2022-04-22 00:07:30	2022-04-22 00:07:44	2022-04-22 00:07:54	44883		44880.22
A.24	9225340	672773	Ada Batu	2022-04-22 00:05:43	2022-04-22 00:05:53	2022-04-22 00:06:03	44941.67		44942.49
A.25	9225330	672780	Ada Batu	2022-04-22 00:02:48	2022-04-22 00:02:58	2022-04-22 00:03:00	44996.57	44997.99	44998.31
A.26	9225330	672787	Ada Batu	2022-04-22 00:00:50	2022-04-22 00:01:00	2022-04-22 00:01:10		44714.49	44717.34
B.02	9225490	672611	-	2022-04-22 00:49:10	2022-04-22 00:49:22	2022-04-22 00:49:32	44729.07		44726.64
B.13	9225410	672689	-	2022-04-22 01:14:45	2022-04-22 01:14:55	2022-04-22 01:15:06		44773.3	44774.33
B.14	9225400	672696	-	2022-04-22 01:16:33	2022-04-22 01:16:43	2022-04-22 01:16:53		44938.76	44937.42
B.15	9225400	672703	-	2022-04-22 01:18:14	2022-04-22 01:18:24	2022-04-22 01:18:34	44973.76	44974.9	
B.17	9225380	672717	-	2022-04-22 01:21:25	2022-04-22 01:21:37	2022-04-22 01:21:47		45007.38	45007.21
B.18	9225380	672724	-	2022-04-22 01:23:28	2022-04-22 01:23:38	2022-04-22 01:23:48		44945.63	44947.17
B.19	9225370	672731	-	2022-04-22 01:25:12	2022-04-22 01:25:22	2022-04-22 01:25:32	44972.21	44971.75	44973.33
B.21	9225350	672745	-	2022-04-22 01:29:13	2022-04-22 01:29:23	2022-04-22 01:29:33		44954.36	44955.47
B.22	9225350	672752	-	2022-04-22 01:30:34	2022-04-22 01:31:44	2022-04-22 01:31:54		44946.63	44944.01
B.23	9225340	672759	-	2022-04-22 01:32:39	2022-04-22 01:32:49	2022-04-22 01:32:59	44963.5	44963.25	
